lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
person,person,,n.,사람,She is a kind person.,그녀는 친절한 사람이에요.,normal,,,FALSE
once,once,,adv.,한 번 / 한때,I go to the gym once a week.,저는 일주일에 한 번 헬스장에 가요.,normal,,,FALSE
member,member,,n.,회원 / 구성원,She is a member of our club.,그녀는 우리 클럽 회원이에요.,normal,,,FALSE
enough,enough,,adv.|det.|pron.,충분히 / 충분한,I have enough money to buy food.,저는 음식을 살 충분한 돈이 있어요.,function_word,,,FALSE
bad,bad,,adj.,나쁜 / 안 좋은,Today was a bad day for me.,오늘은 저에게 안 좋은 날이었어요.,normal,,,FALSE
city,city,,n.,도시,She lives in a big city.,그녀는 큰 도시에 살아요.,normal,,,FALSE
night,night,,n.,밤,We had dinner together last night.,우리는 어젯밤에 함께 저녁을 먹었어요.,normal,,,FALSE
line,line,,n.,줄 / 선,Please stand in line here.,여기 줄을 서 주세요.,normal,,,FALSE
present,present,,adj.,참석한 / 현재의,All the students are present today.,오늘 학생들이 모두 참석했어요.,polysemy_split,"(참석한, 현재의)",,FALSE
present,present,,n.,선물,She gave me a nice present.,그녀가 저에게 멋진 선물을 줬어요.,polysemy_split,(선물),present,FALSE
quite,quite,,adv.,꽤 / 상당히,This bag is quite heavy.,이 가방은 꽤 무거워요.,normal,,,FALSE
sure,sure,,adj.,확신하는 / 확실한,I am sure she will come.,저는 그녀가 올 거라고 확신해요.,normal,,,FALSE
age,age,,n.,나이 / 시대,What is your age?,나이가 어떻게 되세요?,normal,,,FALSE
speak,speak,,v.,말하다,She speaks English very well.,그녀는 영어를 아주 잘 말해요.,normal,,,FALSE
often,often,,adv.,자주 / 종종,We often eat together at home.,우리는 집에서 자주 함께 식사해요.,normal,,,FALSE
train,train,,n.,기차,We took the train to the city.,우리는 도시까지 기차를 탔어요.,normal,,,FALSE
possible,possible,,adj.,가능한,Is it possible to meet tomorrow?,내일 만나는 것이 가능한가요?,normal,,,FALSE
together,together,,adv.,함께,The family eats together every evening.,가족이 매일 저녁 함께 식사해요.,function_word,,,FALSE
price,price,,n.,가격,The price of this dress is high.,이 드레스의 가격이 높아요.,normal,,,FALSE
parent,parent,,n.,부모,Her parents live in Seoul.,그녀의 부모님은 서울에 살아요.,normal,,,FALSE
hard,hard,,adj.|adv.,어려운 / 열심히,She studies hard every day.,그녀는 매일 열심히 공부해요.,normal,,,FALSE
party,party,,n.,파티 / 모임,We had a birthday party at home.,우리는 집에서 생일 파티를 열었어요.,normal,,,FALSE
local,local,,adj.,지역의 / 동네의,I buy food at the local market.,저는 동네 시장에서 음식을 사요.,normal,,,FALSE
product,product,,n.,제품,This product is very good.,이 제품은 아주 좋아요.,normal,,,FALSE
lose,lose,,v.,잃다 / 지다,He lost his keys this morning.,그는 오늘 아침 열쇠를 잃어버렸어요.,normal,,,FALSE
story,story,,n.,이야기,The girl read a funny story.,그 소녀는 재미있는 이야기를 읽었어요.,normal,,,FALSE
stand,stand,,v.,서다 / 서 있다,Please stand up and say your name.,일어서서 이름을 말해 주세요.,normal,,,FALSE
ever,ever,,adv.,한 번이라도 / 언제나,Have you ever eaten sushi?,초밥을 한 번이라도 먹어 본 적 있어요?,normal,,,FALSE
anything,anything,,pron.,무엇이든 / 아무것도,Do you need anything from the store?,가게에서 필요한 것이 있나요?,function_word,,,FALSE
fall,fall,,n.,가을,The leaves are beautiful in fall.,가을에는 나뭇잎이 아름다워요.,polysemy_split,(가을),,FALSE
fall,fall,,v.,떨어지다 / 넘어지다,The boy fell on the wet floor.,그 소년은 젖은 바닥에서 넘어졌어요.,polysemy_split,(넘어지다),fall,FALSE
water,water,,n.,물,She drinks a glass of water every morning.,그녀는 매일 아침 물 한 잔을 마셔요.,normal,,,FALSE
send,send,,v.,보내다,She sent a letter to her mother.,그녀는 엄마에게 편지를 보냈어요.,normal,,,FALSE
soon,soon,,adv.,곧,Dinner will be ready soon.,저녁이 곧 준비될 거예요.,normal,,,FALSE
watch,watch,,n.,손목시계,He got a new watch for his birthday.,그는 생일에 새 손목시계를 받았어요.,polysemy_split,(손목시계),,FALSE
watch,watch,,v.,보다 / 지켜보다,We watched a movie last night.,우리는 어젯밤에 영화를 봤어요.,polysemy_split,(보다),watch,FALSE
probably,probably,,adv.,아마도,She will probably come tomorrow.,그녀는 아마도 내일 올 거예요.,normal,,,FALSE
past,past,,adj.|n.|prep.,과거의 / 지나서,"In the past, she lived in Busan.",과거에 그녀는 부산에 살았어요.,normal,,,TRUE
test,test,,n.|v.,시험 / 시험을 보다,The girl passed her English test.,그 소녀는 영어 시험에 합격했어요.,normal,,,FALSE
visit,visit,,n.|v.,방문하다 / 방문,We visited my grandmother last Sunday.,우리는 지난 일요일에 할머니를 방문했어요.,normal,,,FALSE
center,center,,n.,중심 / 센터,The school is in the center of town.,학교는 마을 중심에 있어요.,normal,,,FALSE
grow,grow,,v.,자라다 / 키우다,The boy grew very fast this year.,그 소년은 올해 아주 빨리 자랐어요.,normal,,,FALSE
nothing,nothing,,pron.,아무것도 없다,There is nothing in the bag.,가방 안에 아무것도 없어요.,function_word,,,FALSE
return,return,,n.|v.,돌아오다 / 돌아옴,She returned home after dinner.,그녀는 저녁 식사 후 집에 돌아왔어요.,normal,,,FALSE
mother,mother,,n.,어머니 / 엄마,My mother cooks every morning.,우리 어머니는 매일 아침 요리를 해요.,normal,,,FALSE
walk,walk,,n.|v.,걷다 / 산책,She walks to the market every day.,그녀는 매일 시장까지 걸어가요.,normal,,,FALSE
office,office,,n.,사무실,He works in a small office.,그는 작은 사무실에서 일해요.,normal,,,FALSE
stay,stay,,v.,머무르다 / 있다,She stayed home all day.,그녀는 하루 종일 집에 있었어요.,normal,,,FALSE
stop,stop,,n.|v.,멈추다 / 정류장,The bus stopped in front of my house.,버스가 우리 집 앞에서 멈췄어요.,normal,,,FALSE
light,light,,adj.,가벼운 / 밝은,This bag is very light.,이 가방은 아주 가벼워요.,polysemy_split,"(가벼운, 밝은)",,FALSE
light,light,,n.,빛 / 불,Please turn on the light.,불을 켜 주세요.,polysemy_split,"(빛, 불)",light,FALSE
remember,remember,,v.,기억하다,I remember her phone number.,저는 그녀의 전화번호를 기억해요.,normal,,,FALSE
share,share,,v.,나누다 / 공유하다,The children shared food at lunch.,아이들이 점심에 음식을 나눠 먹었어요.,normal,,,FALSE
real,real,,adj.,진짜의 / 실제의,Is this a real flower?,이것은 진짜 꽃인가요?,normal,,,FALSE
answer,answer,,n.|v.,대답 / 대답하다,She answered my question.,그녀가 내 질문에 대답했어요.,normal,,,FALSE
sit,sit,,v.,앉다,Please sit here.,여기 앉으세요.,normal,,,FALSE
letter,letter,,n.,편지 / 글자,She wrote a letter to her mom.,그녀는 엄마에게 편지를 썼어요.,normal,,,FALSE
decide,decide,,v.,결정하다,I decided to stay home.,나는 집에 있기로 결정했어요.,normal,,,FALSE
language,language,,n.,언어,She learns a new language.,그녀는 새로운 언어를 배워요.,normal,,,FALSE
subject,subject,,n.,과목 / 주제,My favorite subject is math.,내가 가장 좋아하는 과목은 수학이에요.,normal,,,FALSE
class,class,,n.,수업 / 반,The class starts at nine.,수업은 9시에 시작해요.,normal,,,FALSE
town,town,,n.,마을 / 읍내,We live in a small town.,우리는 작은 마을에 살아요.,normal,,,FALSE
half,half,,det.|n.|pron.,절반,She drank half the water.,그녀는 물을 절반 마셨어요.,normal,,,FALSE
minute,minute,,n.,분 (시간 단위),"Wait five minutes, please.",5분만 기다려 주세요.,normal,,,FALSE
food,food,,n.,음식,The food was very good.,음식이 매우 맛있었어요.,normal,,,FALSE
break,break,,n.|v.,휴식 / 부수다,Let's take a short break.,잠깐 휴식을 취해요.,polysemy_split,(휴식),,FALSE
break,break,,n.|v.,부수다 / 깨다,He broke the glass.,그가 유리컵을 깼어요.,polysemy_split,(부수다),break,FALSE
future,future,,n.,미래,She thinks about her future.,그녀는 자신의 미래에 대해 생각해요.,normal,,,FALSE
ago,ago,,adv.,전에 (~시간 전),I ate two hours ago.,나는 두 시간 전에 밥을 먹었어요.,function_word,,,FALSE
win,win,,v.,이기다 / 우승하다,Our team won the game.,우리 팀이 경기에서 이겼어요.,normal,,,FALSE
color,color,colour,n.,색 / 색깔,What is your favorite color?,가장 좋아하는 색이 무엇인가요?,normal,,,FALSE
period,period,,n.,기간 / 시기,She rested for a short period.,그녀는 짧은 기간 동안 쉬었어요.,normal,,,FALSE
across,across,,adv.|prep.,건너편에 / 가로질러,The shop is across the street.,가게는 길 건너편에 있어요.,function_word,,,FALSE
note,note,,n.,메모 / 쪽지,She left a note on the table.,그녀는 테이블에 메모를 남겼어요.,normal,,,FALSE
history,history,,n.,역사,He likes history class.,그는 역사 수업을 좋아해요.,normal,,,FALSE
create,create,,v.,만들다 / 창조하다,She created a beautiful picture.,그녀는 아름다운 그림을 만들었어요.,normal,,,FALSE
drive,drive,,v.,운전하다,He drives to work every day.,그는 매일 차를 운전해서 출근해요.,normal,,,FALSE
type,type,,n.,종류 / 유형,What type of food do you like?,어떤 종류의 음식을 좋아하세요?,normal,,,FALSE
sound,sound,,n.|v.,소리 / ~처럼 들리다,That sounds good to me.,그것은 좋게 들려요.,polysemy_split,(~처럼 들리다),,FALSE
sound,sound,,n.|v.,소리,I heard a loud sound.,나는 큰 소리를 들었어요.,polysemy_split,(소리),sound,FALSE
eye,eye,,n.,눈 (신체),She has big brown eyes.,그녀는 큰 갈색 눈을 가지고 있어요.,normal,,,FALSE
music,music,,n.,음악,She listens to music every day.,그녀는 매일 음악을 들어요.,normal,,,FALSE
game,game,,n.,게임 / 경기,The boys played a game outside.,남자아이들이 밖에서 경기를 했어요.,normal,,,FALSE
free,free,,adj.,무료의 / 자유로운,The coffee is free today.,오늘은 커피가 무료예요.,normal,,,FALSE
moment,moment,,n.,순간 / 잠깐,"Wait a moment, please.",잠깐만 기다려 주세요.,normal,,,FALSE
body,body,,n.,몸 / 신체,Exercise is good for your body.,운동은 몸에 좋아요.,normal,,,FALSE
wait,wait,,v.,기다리다,I waited for the bus.,나는 버스를 기다렸어요.,normal,,,FALSE
team,team,,n.,팀 / 모둠,We are on the same team.,우리는 같은 팀이에요.,normal,,,FALSE
easy,easy,,adj.,쉬운,This question is very easy.,이 질문은 매우 쉬워요.,normal,,,FALSE
full,full,,adj.,가득 찬 / 배부른,I am full after dinner.,저녁 식사 후 배가 불러요.,normal,,,FALSE
black,black,,adj.|n.,검은색의 / 검은색,She wore a black coat.,그녀는 검은색 코트를 입었어요.,normal,,,FALSE
add,add,,v.,더하다 / 추가하다,Add some sugar to the tea.,차에 설탕을 조금 넣으세요.,normal,,,FALSE
rule,rule,,n.,규칙,Follow the rules at school.,학교에서 규칙을 따르세요.,normal,,,FALSE
sell,sell,,v.,팔다,She sells flowers at the market.,그녀는 시장에서 꽃을 팔아요.,normal,,,FALSE
short,short,,adj.,짧은 / 키가 작은,The girl has short hair.,그 여자아이는 머리카락이 짧아요.,normal,,,FALSE
agree,agree,,v.,동의하다,I agree with you.,나는 당신에게 동의해요.,normal,,,FALSE
everything,everything,,pron.,모든 것,She ate everything on her plate.,그녀는 접시에 있는 모든 것을 먹었어요.,normal,,,FALSE
paper,paper,,n.,종이 / 신문,She wrote on the paper.,그녀는 종이에 글을 썼어요.,normal,,,FALSE
near,near,,adj.|adv.|prep.,가까운 / 가까이에,The school is near my house.,학교는 우리 집 가까이에 있어요.,function_word,,,FALSE
computer,computer,,n.,컴퓨터,She works on her computer.,그녀는 컴퓨터로 일해요.,normal,,,FALSE
situation,situation,,n.,상황,The situation is difficult for us.,상황이 우리에게 어려워요.,normal,,,FALSE
activity,activity,,n.,활동,Walking is a good activity.,걷기는 좋은 활동이에요.,normal,,,FALSE
morning,morning,,n.,아침,She drinks tea every morning.,그녀는 매일 아침 차를 마셔요.,normal,,,FALSE
shop,shop,,n.|v.,가게 / 쇼핑하다,We went shopping at the mall.,우리는 쇼핑몰에 쇼핑하러 갔어요.,normal,,,FALSE
someone,someone,,pron.,누군가,Someone knocked on the door.,누군가 문을 두드렸어요.,normal,,,FALSE
above,above,,adv.|prep.,위에 / ~보다 위에,The picture is above the bed.,그림은 침대 위에 걸려 있어요.,function_word,,,FALSE
design,design,,n.|v.,디자인 / 설계하다,She designed a pretty dress.,그녀는 예쁜 드레스를 디자인했어요.,normal,,,FALSE
event,event,,n.,행사 / 사건,We joined a family event.,우리는 가족 행사에 참여했어요.,normal,,,FALSE
special,special,,adj.,특별한,Today is a special day for us.,오늘은 우리에게 특별한 날이에요.,normal,,,FALSE
sometimes,sometimes,,adv.,때때로 / 가끔,I sometimes walk to the store.,나는 가끔 가게까지 걸어가요.,function_word,,,FALSE
carry,carry,,v.,들고 가다 / 나르다,He carried the bag for her.,그가 그녀를 위해 가방을 들어줬어요.,normal,,,FALSE
choose,choose,,v.,고르다 / 선택하다,She chose a red dress.,그녀는 빨간 드레스를 골랐어요.,normal,,,FALSE
father,father,,n.,아버지,My father cooks on Sundays.,우리 아버지는 일요일에 요리해요.,normal,,,FALSE
table,table,,n.,탁자 / 식탁,The food is on the table.,음식이 식탁 위에 있어요.,normal,,,FALSE
main,main,,adj.,주요한 / 가장 중요한,Rice is the main food in Korea.,밥은 한국에서 주요 음식이에요.,normal,,,FALSE
die,die,,v.,죽다,The old cat died yesterday.,늙은 고양이가 어제 죽었어요.,normal,,,FALSE
cut,cut,,v.,자르다,She cut the bread for lunch.,그녀는 점심을 위해 빵을 잘랐어요.,normal,,,FALSE
describe,describe,,v.,설명하다 / 묘사하다,She described her new house.,그녀는 자신의 새 집을 묘사했어요.,normal,,,FALSE
strong,strong,,adj.,강한 / 튼튼한,He is a strong man.,그는 튼튼한 남자예요.,normal,,,FALSE
girl,girl,,n.,소녀 / 여자아이,The girl likes reading books.,그 소녀는 책 읽기를 좋아해요.,normal,,,FALSE
maybe,maybe,,adv.,아마도 / 어쩌면,Maybe she is at home now.,아마 그녀는 지금 집에 있을 거예요.,normal,,,FALSE
else,else,,adv.,그 밖에 / 다른,Do you want anything else?,다른 것이 필요하세요?,function_word,,,FALSE
join,join,,v.,참여하다 / 함께하다,She joined a cooking class.,그녀는 요리 수업에 참여했어요.,normal,,,FALSE
difficult,difficult,,adj.,어려운,The test was very difficult.,그 시험은 매우 어려웠어요.,normal,,,FALSE
please,please,,exclam.,제발 / 부탁드려요,Please sit down here.,여기 앉아 주세요.,normal,,,FALSE
detail,detail,,n.,세부 사항 / 자세한 내용,She told me every detail.,그녀는 모든 세부 사항을 말해줬어요.,normal,,,FALSE
difference,difference,,n.,차이 / 다른 점,There is a big difference.,큰 차이가 있어요.,normal,,,FALSE
action,action,,n.,행동 / 행위,"We need action, not words.",우리는 말이 아니라 행동이 필요해요.,normal,,,FALSE
